function,package,family,claimed_by,status,pr
utils.basic.stats,dartR.base,utility,arthur,done,309
utils.reset.flags,dartR.base,utility,arthur,done,308
utils.recalc.avgpic,dartR.base,utility,arthur,done,307
utils.recalc.maf,dartR.base,utility,arthur,done,306
utils.recalc.freqhomref,dartR.base,utility,arthur,done,304
utils.hamming.blocks,dartR.base,utility,arthur,done,318
utils.impute,dartR.base,utility,arthur,done,324
utils.recalc.freqhomsnp,dartR.base,utility,arthur,done,305
utils.recalc.freqhets,dartR.base,utility,arthur,done,303
gl.filter.pa,dartR.base,matched filter,arthur,done,300
utils.check.datatype,dartR.base,utility,arthur,done,296
utils.check.datatype,dartR.base,analysis,arthur,done,368
gl.filter.maf,dartR.base,matched filter,arthur,done,295
utils.recalc.callrate,dartR.base,utility,arthur,done,302
gl.report.pa,dartR.base,matched report,arthur,done,299
gl.report.diversity,dartR.base,report,arthur,done,301
gl.report.maf,dartR.base,matched report,arthur,done,294
gl2eigenstrat,dartR.base,io,arthur,done,355
gl.amova,dartR.popgen,analysis,arthur,moved-to-dartR.popgen,88
utils.read.fasta,dartR.base,io,arthur,done,362
utils.read.dart,dartR.base,io,arthur,done,360
gl.read.fasta,dartR.base,io,arthur,done,359
utils.read.ped,dartR.base,io,arthur,done,361
gl.dist.pop,dartR.base,analysis,claude,done,376
gl.recalc.metrics,dartR.base,modify,arthur,done,386
gl.tree.fitch,dartR.base,analysis,claude,done,371
gl.set.verbosity,dartR.base,utility,arthur,done,297
gl.impute,dartR.base,data manipulation,claude,done,373
gl.dist.ind,dartR.base,analysis,claude,done,375
gl.read.PLINK,dartR.base,io,arthur,done,358
gl.report.ld.map,dartR.base,matched report,arthur,done,390
gl.filter.ld,dartR.base,matched filter,arthur,done,391
gl.report.ld,dartR.base,report,arthur,done,392
gl.filter.factorloadings,dartR.base,matched filter,arthur,done,393
gl.edit.recode.pop,dartR.base,data manipulation,arthur,done,400
gl.edit.recode.ind,dartR.base,data manipulation,arthur,done,399
gl.add.indmetrics,dartR.base,data manipulation,arthur,done,398
gl.write.csv,dartR.base,io,arthur,done,397
gl.set.wd,dartR.base,utility,arthur,done,396
gl.check.wd,dartR.base,utility,arthur,done,395
gl.map.interactive,dartR.base,graphics,luis,done,403
gl.test.heterozygosity,dartR.base,analysis,luis,done,404
gl.plot.heatmap,dartR.base,graphics,luis,done,406
gl.blast,dartR.popgen,analysis,luis,done,90
gl.ld.haplotype,dartR.popgen,analysis,luis,done,91
gl.run.structure,dartR.popgen,analysis,luis,done,92
gl.plot.snp.density,dartR.base,graphics,luis,done,407
gl.LDNe,dartR.popgen,analysis,luis,done,93
gl.check.verbosity,dartR.base,analysis,luis,done,430
gl.diagnostics.hwe,dartR.base,analysis,luis,done,425
gl.document,dartR.base,analysis,luis,removed,431
gl.fbm2gen,dartR.base,analysis,luis,done,427
gl.fdsim,dartR.base,analysis,luis,done,432
gl.filter.contamination,dartR.base,filter,luis,done,423
gl.filter.excess.het,dartR.base,filter,luis,done,424
gl.filter.hamming,dartR.base,filter,luis,done,417
gl.gen2fbm,dartR.base,analysis,luis,done,427
gl.hwe.pop,dartR.base,analysis,luis,done,425
gl.print.history,dartR.base,analysis,luis,done,434
gl.randomize.snps,dartR.base,analysis,luis,done,433
gl.report.contamination,dartR.base,report,luis,done,423
gl.report.excess.het,dartR.base,report,luis,done,424
gl.report.hamming,dartR.base,report,luis,done,417
gl.report.polyploid_heterozygosity,dartR.base,report,luis,done,435
gl.subsample.ind,dartR.base,data manipulation,luis,done,426
gl.subsample.loc,dartR.base,data manipulation,luis,done,426
gl.subsample.loci,dartR.base,data manipulation,luis,done,426
glMean,dartR.base,analysis,luis,done,440
glSum,dartR.base,analysis,luis,done,440
theme_dartR,dartR.base,graphics,luis,done,441
utils.hamming.engine,dartR.base,utility,arthur,done,318
utils.pa.Chao,dartR.base,utility,luis,done,443
utils.subsample.pop,dartR.base,utility,luis,done,442
gl.TajimasD,dartR.popgen,analysis,luis,done,108
gl.check.panel,dartR.popgen,analysis,luis,done,113
gl.collapse,dartR.popgen,data manipulation,luis,done,114
gl.evanno,dartR.popgen,analysis,luis,done,96
gl.find.loci.in.genes,dartR.popgen,analysis,luis,done,109
gl.ld.distance,dartR.popgen,analysis,luis,done,112
gl.map.popcluster,dartR.popgen,analysis,luis,done,103
gl.map.snmf,dartR.popgen,analysis,luis,done,102
gl.map.structure,dartR.popgen,analysis,luis,done,95
gl.outflank,dartR.popgen,analysis,luis,done,111
gl.plot.faststructure,dartR.popgen,graphics,luis,done,101
gl.plot.popcluster,dartR.popgen,graphics,luis,done,103
gl.plot.snmf,dartR.popgen,graphics,luis,done,102
gl.plot.structure,dartR.popgen,graphics,luis,done,94
gl.read.structure,dartR.popgen,io,luis,done,98
gl.run.epos,dartR.popgen,analysis,luis,done,105
gl.run.faststructure,dartR.popgen,analysis,luis,done,101
gl.run.popcluster,dartR.popgen,analysis,luis,done,103
gl.run.snmf,dartR.popgen,analysis,luis,done,102
gl.run.stairway2,dartR.popgen,analysis,luis,done,104
gl.select.panel,dartR.popgen,graphics,luis,done,113
gl.sfs,dartR.popgen,analysis,luis,done,106
utils.get.allele.freq,dartR.popgen,utility,luis,done,108
utils.outflank,dartR.popgen,utility,luis,done,111
utils.outflank.MakeDiploidFSTMat,dartR.popgen,utility,luis,done,111
utils.outflank.plotter,dartR.popgen,utility,luis,done,111
utils.collapse.groups,dartR.popgen,utility,luis,done,114
utils.structure.evanno,dartR.popgen,utility,luis,done,96
utils.structure.genind2gtypes,dartR.popgen,utility,luis,done,92
utils.structure.run,dartR.popgen,utility,luis,done,92
utils.structure.read,dartR.popgen,utility,luis,done,98
utils.read.ped,dartR.popgen,utility,luis,done,91
gl.costdistances,dartR.spatial,analysis,luis,done,38
gl.genleastcost,dartR.spatial,analysis,luis,done,41
gl.grm2,dartR.spatial,analysis,luis,done,43
gl.ibd,dartR.spatial,analysis,luis,done,37
gl.kosman,dartR.spatial,analysis,luis,done,40
gl.run.eems,dartR.spatial,analysis,luis,done,36
gl.spatial.autoCorr,dartR.spatial,analysis,luis,done,42
gl2shp,dartR.spatial,io,luis,done,39
utils.spautocor,dartR.spatial,utility,luis,done,42
gl.assign.grm,dartR.captive,analysis,claude,done,88
gl.diagnostics.relatedness,dartR.captive,analysis,luis,done,107
gl.filter.parent.offspring,dartR.captive,filter,claude,done,103
gl.grm,dartR.captive,analysis,claude,done,85
gl.grm.network,dartR.captive,analysis,claude,done,97
gl.kin,dartR.captive,analysis,luis,done,108
gl.plot.network,dartR.captive,graphics,claude,done,106
gl.report.gd.projection,dartR.captive,report,luis,done,124
gl.report.ind.add,dartR.captive,report,luis,done,120
gl.report.ind.move,dartR.captive,report,luis,done,122
gl.report.ind.remove,dartR.captive,report,luis,done,123
gl.report.kin.classes,dartR.captive,report,luis,done,114
gl.report.kin.confidence,dartR.captive,report,luis,done,115
gl.report.kin.groups,dartR.captive,report,luis,done,119
gl.report.kin.sets,dartR.captive,report,luis,done,125
gl.report.kinship,dartR.captive,report,luis,done,112
gl.report.mate.suitability,dartR.captive,report,luis,done,126
gl.report.parent.offspring,dartR.captive,report,claude,done,102
gl.report.repro.targets,dartR.captive,report,luis,done,127
gl.run.EMIBD9,dartR.captive,analysis,claude,done,100
gl.run.colony,dartR.captive,analysis,claude,done,99
gl.select.pairs,dartR.captive,graphics,luis,done,128
gl.sim.relatedness,dartR.captive,analysis,claude,done,105
gl2colony,dartR.captive,io,claude,done,98
utils.kin.check,dartR.captive,utility,luis,done,134
utils.kin.dgd,dartR.captive,utility,luis,done,134
utils.kin.dominant,dartR.captive,utility,luis,done,134
gl.relatedness,dartR.captive,analysis,luis,done,129
utils.colony.parental.ids,dartR.captive,utility,claude,done,98
utils.colony.genotypes,dartR.captive,utility,claude,done,98
utils.kin.as.kinship,dartR.captive,utility,luis,done,110
gl.drop.sexlinked,dartR.sexlinked,data manipulation,luis,done,41
gl.filter.sexlinked,dartR.sexlinked,filter,luis,done,35
gl.infer.sex,dartR.sexlinked,analysis,luis,done,36
gl.keep.sexlinked,dartR.sexlinked,data manipulation,luis,done,34
gl.report.sexlinked,dartR.sexlinked,report,luis,done,33
gl.diagnostics.sim,dartR.sim,analysis,luis,done,51
gl.report.nall,dartR.sim,report,luis,done,59
gl.sim.Neconst,dartR.sim,analysis,luis,done,57
gl.sim.WF.run,dartR.sim,analysis,luis,done,48
gl.sim.WF.table,dartR.sim,analysis,luis,done,47
gl.sim.create_dispersal,dartR.sim,analysis,luis,done,58
gl.sim.emigration,dartR.sim,analysis,luis,done,55
gl.sim.ind,dartR.sim,analysis,luis,done,50
gl.sim.ind.af,dartR.sim,analysis,luis,done,54
gl.sim.mutate,dartR.sim,analysis,luis,done,56
gl.sim.offspring,dartR.sim,analysis,luis,done,53
dartRverse_install,dartRverse,analysis,luis,done,43
gl.download.binary,dartRverse,analysis,luis,done,41
gl.sim.apply,dartR.sim,utility,luis,done,61
utils.wf.ref.values,dartR.sim,utility,luis,done,47
utils.wf.cpp,dartR.sim,utility,luis,done,48
utils.hamming.prepare,dartR.base,utility,luis,done,417
